1,255,255,255
1,148,213,120
0,251,17,196
0,193,70,229
1,172,241,144
0,186,168,110
1,204,102,152
0,90,154,80
1,125,169,12
0,38,194,3
0,191,161,25
0,252,15,167
0,34,13,130
1,210,249,85
0,49,136,233
1,87,249,88
0,246,25,220
0,0,156,24
0,73,156,77
0,170,166,0
0,186,21,189
0,134,112,44
0,145,117,5
0,136,132,147
0,34,150,109
1,54,170,242
1,110,244,146
0,103,49,121
0,47,165,10
0,135,39,1
0,110,75,168
0,7,41,219
0,146,153,29
0,3,37,159
1,155,118,232
1,204,190,247
0,247,29,157
0,134,106,195
0,157,95,39
1,140,209,164
0,124,63,12
1,120,188,95
1,185,223,144
0,92,169,37
0,33,135,161
0,137,25,115
1,139,197,44
0,110,39,26
1,35,237,155
1,241,192,135
0,66,9,202
0,239,63,123
1,148,251,173
0,242,83,20
0,82,112,54
0,156,31,94
0,126,93,121
1,23,209,37
0,136,125,71
0,106,115,232
1,231,161,165
0,182,96,238
0,205,96,31
0,44,59,177
0,170,79,33
1,232,170,114
1,117,247,220
1,14,219,92
0,50,93,138
1,239,133,249
0,196,32,103
0,79,89,174
0,115,158,84
1,250,45,165
0,215,24,221
1,181,175,60
1,138,232,1
0,48,127,170
0,73,207,51
1,60,194,153
1,174,154,62
0,100,101,118
0,184,36,213
0,2,101,139
0,204,131,121
0,19,96,180
1,119,162,65
0,0,54,23
0,227,43,108
0,71,26,196
1,162,247,187
0,58,46,85
0,25,60,196
0,11,19,224
1,26,227,112
1,140,207,252
0,21,126,122
1,31,187,233
0,147,141,98
0,87,122,235
0,185,88,30
1,233,187,157
1,229,247,70
1,92,177,177
0,171,154,60
0,39,84,18
0,96,164,134
0,48,200,92
1,180,142,196
0,229,116,105
0,55,27,112
0,67,120,166
0,229,124,129
1,154,183,151
0,49,131,179
0,62,93,174
0,112,4,127
1,45,250,195
0,144,16,205
0,146,140,163
0,170,34,159
0,19,48,9
0,77,125,162
0,17,6,233
1,127,250,201
0,115,74,142
0,63,55,33
1,222,223,138
1,106,241,32
0,185,77,44
0,48,131,191
0,106,103,21
1,221,86,201
1,30,195,50
0,227,156,68
0,17,109,6
1,232,136,229
0,163,42,138
1,240,222,98
0,65,168,137
1,218,250,194
1,244,236,233
0,248,54,42
1,162,134,231
0,239,25,113
1,254,244,134
0,8,81,3
1,254,238,165
1,154,197,153
1,137,246,150
1,184,226,201
1,230,248,189
1,237,244,192
